booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,number_of_rooms,adults_count,children_count
RES-10015,GST-0042,2024-03-23,2024-05-05,2024-05-07,RT_STQ,RC_AAA,CH_BDC,Business,Checked-Out,4730.4,1,1,1
RES-10016,GST-0336,2024-11-30,2024-12-19,2024-12-21,RT_STQ,RC_RACK,CH_GDS,Business,Cancelled,0,1,1,0
RES-10017,GST-1583,2024-10-14,2024-10-30,2024-11-04,RT_OCV,RC_NRF,CH_EXP,Group,Checked-Out,22364.0,1,2,0
RES-10018,GST-0861,2024-08-23,2024-08-23,2024-08-25,RT_DLK,RC_PROMO,CH_WAL,Business,Checked-Out,8530.6,1,2,1
RES-10019,GST-1884,2024-04-27,2024-05-31,2024-06-03,RT_STE,RC_AAA,CH_EXP,Leisure,Checked-Out,16651.44,1,2,0
RES-10020,GST-1369,2024-03-27,2024-05-02,2024-05-04,RT_STQ,RC_NRF,CH_EXP,Business,Checked-Out,3645.44,1,2,0
RES-10021,GST-1059,2024-04-11,2024-05-10,2024-05-12,RT_DLK,RC_NRF,CH_GDS,Business,Checked-Out,6172.16,1,1,0
RES-10022,GST-0454,2024-09-07,2024-10-24,2024-10-26,RT_STQ,RC_CORP,CH_EXP,Business,Checked-Out,23480.0,4,3,1
RES-10023,GST-0555,2024-08-18,2024-10-15,2024-10-16,RT_STQ,RC_NRF,CH_EXP,Business,Checked-Out,2156.8,1,2,3
RES-10024,GST-1706,2024-09-22,2024-10-07,2024-10-09,RT_STQ,RC_RACK,CH_DIR,Business,Checked-Out,10184.0,2,2,1
RES-10025,GST-1542,2024-07-23,2024-08-27,2024-08-28,RT_DLK,RC_CORP,CH_EXP,Transient,Checked-Out,4686.5,1,1,1
RES-10026,GST-0821,2024-09-26,2024-10-29,2024-10-31,RT_STQ,RC_CORP,CH_EXP,Leisure,Checked-Out,5508.0,1,1,1
RES-10027,GST-0780,2024-04-30,2024-06-19,2024-06-21,RT_ACC,RC_NRF,CH_EXP,Leisure,Cancelled,0,2,2,1
RES-10028,GST-0542,2024-01-01,2024-01-16,2024-01-18,RT_STQ,RC_RACK,CH_BDC,Business,Checked-Out,8333.0,1,1,0
RES-10029,GST-0580,2024-10-10,2024-11-30,2024-12-03,RT_OCV,RC_CORP,CH_BDC,Leisure,No-Show,6981.0,1,1,2
RES-10030,GST-1693,2024-09-30,2024-10-25,2024-10-27,RT_DLK,RC_NRF,CH_DIR,Business,Checked-Out,6006.4,1,2,2
RES-10031,GST-1025,2024-05-07,2024-06-28,2024-07-02,RT_OCV,RC_CORP,CH_EXP,Leisure,Checked-Out,14566.4,1,1,3
RES-10032,GST-1377,2024-09-21,2024-09-22,2024-09-26,RT_STQ,RC_NRF,CH_WAL,Leisure,Checked-Out,27494.4,4,4,3
RES-10033,GST-0963,2024-05-22,2024-07-01,2024-07-06,RT_OCV,RC_CORP,CH_EXP,Leisure,Checked-Out,33085.0,1,1,0
RES-10034,GST-0645,2024-01-01,2024-01-15,2024-01-17,RT_OCV,RC_NRF,CH_EXP,Business,Checked-Out,11119.68,1,2,1
RES-10035,GST-1557,2024-11-22,2024-12-30,2025-01-01,RT_STQ,RC_RACK,CH_DIR,Leisure,Confirmed,13150.8,2,2,1
RES-10036,GST-0637,2024-01-30,2024-03-13,2024-03-15,RT_ACC,RC_RACK,CH_BDC,Leisure,Checked-Out,6326.0,1,2,0
RES-10037,GST-0560,2024-02-20,2024-03-29,2024-04-01,RT_DLK,RC_AAA,CH_EXP,Leisure,Checked-Out,12762.9,1,1,0
RES-10038,GST-1618,2024-01-01,2024-01-02,2024-01-06,RT_STQ,RC_NRF,CH_WAL,Leisure,Checked-Out,13965.12,1,2,2
RES-10039,GST-0915,2024-08-01,2024-09-04,2024-09-07,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,11827.2,1,2,0
RES-10040,GST-1526,2024-11-20,2024-12-13,2024-12-15,RT_ACC,RC_AAA,CH_EXP,Transient,Checked-Out,5936.58,1,2,2
RES-10041,GST-1791,2024-03-13,2024-03-14,2024-03-15,RT_STQ,RC_PROMO,CH_WAL,Business,Checked-Out,2189.6,1,2,1
RES-10042,GST-0815,2024-06-23,2024-07-27,2024-07-30,RT_OCV,RC_NRF,CH_BDC,Transient,Checked-Out,18629.52,1,1,1
RES-10043,GST-0481,2024-08-04,2024-08-24,2024-08-27,RT_STE,RC_PROMO,CH_BDC,Transient,Checked-Out,25933.24,1,1,0
RES-10044,GST-1631,2024-06-23,2024-08-05,2024-08-08,RT_STQ,RC_AAA,CH_DIR,Leisure,Checked-Out,9385.74,1,2,1
RES-10045,GST-0494,2024-08-07,2024-09-06,2024-09-08,RT_DLK,RC_RACK,CH_EXP,Leisure,Checked-Out,7123.2,1,1,0
RES-10046,GST-1936,2024-04-09,2024-05-22,2024-05-26,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,50009.6,4,1,0
RES-10047,GST-1172,2024-11-08,2024-12-17,2024-12-21,RT_STQ,RC_CORP,CH_EXP,Leisure,Checked-Out,13041.6,1,1,2
RES-10048,GST-1527,2024-10-15,2024-11-20,2024-11-21,RT_OCV,RC_RACK,CH_EXP,Transient,Checked-Out,7543.9,1,1,1
RES-10049,GST-1851,2024-05-20,2024-07-19,2024-07-20,RT_STQ,RC_NRF,CH_BDC,Business,Checked-Out,2695.68,1,2,0
RES-10050,GST-0271,2024-05-09,2024-06-02,2024-06-04,RT_DLK,RC_AAA,CH_BDC,Transient,Checked-Out,12919.68,2,3,1
RES-10051,GST-0960,2024-11-29,2024-12-18,2024-12-20,RT_OCV,RC_PROMO,CH_GDS,Business,Cancelled,0,1,1,0
RES-10052,GST-1378,2024-07-03,2024-07-23,2024-07-26,RT_DLK,RC_AAA,CH_BDC,Leisure,Checked-Out,15672.15,1,2,2
RES-10053,GST-0454,2024-11-02,2024-12-12,2024-12-14,RT_STE,RC_AAA,CH_BDC,Leisure,Cancelled,0,1,2,0
RES-10054,GST-0481,2024-12-21,2024-12-22,2024-12-23,RT_DLK,RC_AAA,CH_WAL,Business,Checked-Out,5088.33,1,2,2
RES-10055,GST-0573,2024-06-28,2024-07-11,2024-07-15,RT_ACC,RC_AAA,CH_DIR,Leisure,Checked-Out,14306.76,1,1,0
RES-10056,GST-0389,2024-03-29,2024-04-25,2024-04-28,RT_STQ,RC_NRF,CH_GDS,Transient,Cancelled,0,2,3,0
RES-10057,GST-0258,2024-10-14,2024-11-10,2024-11-11,RT_DLK,RC_NRF,CH_BDC,Business,Checked-Out,4338.88,1,1,0
RES-10058,GST-0297,2024-01-10,2024-01-21,2024-01-23,RT_STQ,RC_NRF,CH_GDS,Leisure,Checked-Out,5961.28,1,2,0
RES-10059,GST-0544,2024-08-03,2024-09-07,2024-09-12,RT_STE,RC_CORP,CH_DIR,Group,Checked-Out,44816.0,1,1,2
RES-10060,GST-0089,2024-11-24,2024-12-09,2024-12-10,RT_STQ,RC_CORP,CH_BDC,Transient,Checked-Out,3887.0,1,1,0
RES-10061,GST-1864,2024-02-17,2024-03-19,2024-03-22,RT_STQ,RC_RACK,CH_EXP,Transient,Checked-Out,9444.0,1,2,3
RES-10062,GST-1087,2024-01-18,2024-03-13,2024-03-16,RT_OCV,RC_AAA,CH_EXP,Leisure,No-Show,4842.0,1,2,1
RES-10063,GST-0817,2024-07-01,2024-07-24,2024-07-26,RT_DLK,RC_AAA,CH_EXP,Business,Cancelled,0,1,2,0
RES-10064,GST-1514,2024-09-23,2024-10-28,2024-10-29,RT_ACC,RC_RACK,CH_EXP,Business,Checked-Out,2920.0,1,2,2
RES-10065,GST-1477,2024-09-03,2024-09-23,2024-09-26,RT_STQ,RC_RACK,CH_DIR,Leisure,Checked-Out,7612.8,1,2,1
RES-10066,GST-0753,2024-09-09,2024-10-21,2024-10-23,RT_DLK,RC_RACK,CH_DIR,Leisure,Checked-Out,9494.0,1,2,0
RES-10067,GST-0560,2024-02-07,2024-03-28,2024-04-02,RT_STQ,RC_RACK,CH_BDC,Leisure,Checked-Out,12855.0,1,1,0
RES-10068,GST-1087,2024-05-10,2024-06-22,2024-06-24,RT_STQ,RC_RACK,CH_DIR,Leisure,Checked-Out,5446.4,1,1,1
RES-10069,GST-0558,2024-03-19,2024-05-04,2024-05-06,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,6729.6,1,2,0
RES-10070,GST-0632,2024-05-21,2024-06-10,2024-06-13,RT_STQ,RC_CORP,CH_DIR,Leisure,Checked-Out,7876.8,1,1,0
RES-10071,GST-0882,2024-11-16,2024-12-15,2024-12-17,RT_DLK,RC_NRF,CH_DIR,Leisure,Cancelled,0,1,1,0
RES-10072,GST-0160,2024-07-31,2024-08-01,2024-08-03,RT_STE,RC_CORP,CH_WAL,Leisure,Checked-Out,26826.8,1,2,1
RES-10073,GST-1884,2024-06-21,2024-08-07,2024-08-09,RT_DLK,RC_RACK,CH_EXP,Leisure,Checked-Out,11206.0,1,1,0
RES-10074,GST-0345,2024-06-05,2024-07-04,2024-07-07,RT_STQ,RC_CORP,CH_DIR,Leisure,Checked-Out,10689.9,1,1,1
RES-10075,GST-1557,2024-07-20,2024-09-08,2024-09-10,RT_DLK,RC_PROMO,CH_BDC,Business,Checked-Out,6655.84,1,2,2
RES-10076,GST-1285,2024-04-13,2024-06-03,2024-06-05,RT_DLK,RC_AAA,CH_EXP,Leisure,Checked-Out,6076.8,1,2,0
RES-10077,GST-0756,2024-11-09,2024-11-10,2024-11-12,RT_OCV,RC_NRF,CH_WAL,Business,Checked-Out,11831.04,1,1,0
RES-10078,GST-1659,2024-01-04,2024-02-15,2024-02-16,RT_DLK,RC_CORP,CH_BDC,Business,Cancelled,0,3,2,0
RES-10079,GST-1450,2024-06-21,2024-07-23,2024-07-28,RT_STQ,RC_CORP,CH_EXP,Leisure,Checked-Out,18967.0,1,1,1
RES-10080,GST-1326,2024-03-24,2024-05-23,2024-05-26,RT_STQ,RC_CORP,CH_EXP,Leisure,Checked-Out,6818.4,1,2,0
RES-10081,GST-1344,2024-05-03,2024-06-21,2024-06-26,RT_OCV,RC_CORP,CH_BDC,Leisure,Checked-Out,23268.0,1,1,1
RES-10082,GST-0868,2024-05-23,2024-07-07,2024-07-08,RT_ACC,RC_RACK,CH_EXP,Business,Cancelled,0,4,3,1
RES-10083,GST-0208,2024-11-13,2024-12-18,2024-12-21,RT_DLK,RC_NRF,CH_EXP,Leisure,Cancelled,0,1,1,1
RES-10084,GST-0090,2024-04-27,2024-06-08,2024-06-12,RT_DLK,RC_RACK,CH_EXP,Group,Checked-Out,14697.6,1,2,2
RES-10085,GST-0398,2024-04-30,2024-06-07,2024-06-10,RT_DLK,RC_PROMO,CH_EXP,Transient,Cancelled,0,1,1,1
RES-10086,GST-0284,2024-02-22,2024-02-22,2024-02-24,RT_STQ,RC_AAA,CH_WAL,Business,Checked-Out,6048.9,1,1,1
RES-10087,GST-0188,2024-01-01,2024-01-21,2024-01-22,RT_STQ,RC_AAA,CH_GDS,Business,Checked-Out,3398.85,1,1,0
RES-10088,GST-0058,2024-03-07,2024-03-29,2024-03-30,RT_STQ,RC_NRF,CH_EXP,Business,Checked-Out,2234.4,1,1,1
RES-10089,GST-0961,2024-02-11,2024-03-31,2024-04-02,RT_STQ,RC_RACK,CH_EXP,Business,No-Show,2613.0,1,1,0
RES-10090,GST-0860,2024-08-05,2024-09-26,2024-09-28,RT_OCV,RC_RACK,CH_BDC,Leisure,No-Show,4635.2,1,1,0
RES-10091,GST-0004,2024-01-11,2024-02-27,2024-02-29,RT_DLK,RC_AAA,CH_BDC,Business,Checked-Out,17025.84,2,1,0
RES-10092,GST-0963,2024-06-27,2024-07-08,2024-07-12,RT_STE,RC_AAA,CH_DIR,Leisure,Checked-Out,42003.0,1,2,0
RES-10093,GST-0722,2024-07-12,2024-09-08,2024-09-10,RT_OCV,RC_RACK,CH_EXP,Transient,Cancelled,0,1,2,0
RES-10094,GST-0413,2024-08-26,2024-09-27,2024-09-29,RT_OCV,RC_RACK,CH_DIR,Business,Checked-Out,8028.8,1,2,0
RES-10095,GST-1600,2024-07-17,2024-08-18,2024-08-24,RT_OCV,RC_RACK,CH_DIR,Group,Checked-Out,197558.4,4,2,0
RES-10096,GST-1019,2024-07-31,2024-08-19,2024-08-21,RT_STQ,RC_RACK,CH_EXP,Transient,Cancelled,0,4,3,0
RES-10097,GST-0164,2024-02-11,2024-04-09,2024-04-14,RT_STE,RC_AAA,CH_EXP,Leisure,Checked-Out,35564.4,1,2,1
RES-10098,GST-0891,2024-10-28,2024-12-06,2024-12-09,RT_STQ,RC_PROMO,CH_EXP,Wholesale,Checked-Out,10027.88,1,1,0
RES-10099,GST-1245,2024-11-03,2024-12-10,2024-12-14,RT_STQ,RC_RACK,CH_BDC,Leisure,Cancelled,0,1,1,1
RES-10100,GST-1944,2024-06-11,2024-07-20,2024-07-24,RT_STQ,RC_RACK,CH_EXP,Leisure,Checked-Out,16458.0,1,1,1
RES-10101,GST-1023,2024-08-03,2024-08-30,2024-09-02,RT_OCV,RC_RACK,CH_EXP,Transient,Checked-Out,19827.6,1,1,0
RES-10102,GST-1747,2024-11-25,2024-12-22,2024-12-24,RT_ACC,RC_NRF,CH_DIR,Business,Checked-Out,5337.28,1,2,2
RES-10103,GST-1458,2024-04-17,2024-05-08,2024-05-12,RT_STQ,RC_RACK,CH_BDC,Group,Checked-Out,10595.2,1,1,0
RES-10104,GST-1173,2024-02-10,2024-02-28,2024-03-01,RT_DLK,RC_CORP,CH_EXP,Transient,Checked-Out,44876.0,4,4,1
RES-10105,GST-1687,2024-07-14,2024-09-09,2024-09-11,RT_STQ,RC_RACK,CH_BDC,Business,Checked-Out,4209.6,1,1,1
RES-10106,GST-0265,2024-02-29,2024-04-02,2024-04-03,RT_STQ,RC_RACK,CH_EXP,Transient,Checked-Out,2132.0,1,2,2
RES-10107,GST-1063,2024-10-08,2024-10-09,2024-10-10,RT_DLK,RC_RACK,CH_WAL,Transient,Checked-Out,4780.0,1,1,0
RES-10108,GST-1190,2024-10-13,2024-10-22,2024-10-25,RT_DLK,RC_NRF,CH_DIR,Group,Checked-Out,8798.4,1,2,1
RES-10109,GST-1571,2024-09-18,2024-10-20,2024-10-24,RT_OCV,RC_RACK,CH_BDC,Leisure,Checked-Out,21956.0,1,2,0
RES-10110,GST-0150,2024-05-16,2024-07-07,2024-07-08,RT_DLK,RC_AAA,CH_BDC,Business,Checked-Out,4843.8,1,2,3
RES-10111,GST-0268,2024-02-15,2024-03-17,2024-03-22,RT_STQ,RC_RACK,CH_BDC,Leisure,Cancelled,0,1,2,2
RES-10112,GST-0857,2024-10-02,2024-10-29,2024-10-30,RT_STQ,RC_RACK,CH_DIR,Transient,Checked-Out,3281.0,1,2,0
RES-10113,GST-0632,2024-04-20,2024-05-17,2024-05-19,RT_DLK,RC_AAA,CH_EXP,Business,Checked-Out,5182.56,1,2,0
RES-10114,GST-0017,2024-07-24,2024-07-25,2024-07-27,RT_STE,RC_NRF,CH_WAL,Leisure,Checked-Out,21384.48,1,2,0
RES-10115,GST-0151,2024-10-03,2024-11-29,2024-12-01,RT_OCV,RC_CORP,CH_EXP,Leisure,Checked-Out,24767.6,2,3,0
RES-10116,GST-0749,2024-01-22,2024-02-07,2024-02-08,RT_DLK,RC_CORP,CH_BDC,Business,Checked-Out,6449.3,1,2,0
RES-10117,GST-1830,2024-10-23,2024-11-25,2024-11-29,RT_STQ,RC_CORP,CH_EXP,Leisure,Checked-Out,15698.8,1,2,0
RES-10118,GST-0035,2024-11-17,2024-12-02,2024-12-09,RT_DLK,RC_PROMO,CH_EXP,Group,Checked-Out,34583.18,1,1,1
RES-10119,GST-1196,2024-07-04,2024-07-27,2024-07-30,RT_OCV,RC_NRF,CH_EXP,Leisure,Checked-Out,14239.68,1,1,0
RES-10120,GST-0643,2024-10-10,2024-11-23,2024-11-25,RT_DLK,RC_RACK,CH_EXP,Leisure,No-Show,6428.5,1,2,3
RES-10121,GST-0980,2024-05-21,2024-07-08,2024-07-12,RT_OCV,RC_RACK,CH_EXP,Leisure,Checked-Out,30596.8,1,2,1
RES-10122,GST-0394,2024-05-23,2024-06-08,2024-06-11,RT_OCV,RC_RACK,CH_GDS,Leisure,Checked-Out,14191.2,1,2,0
RES-10123,GST-1914,2024-06-18,2024-07-27,2024-07-31,RT_DLK,RC_RACK,CH_BDC,Leisure,Checked-Out,19754.8,1,1,0
RES-10124,GST-0906,2024-04-13,2024-06-01,2024-06-06,RT_OCV,RC_RACK,CH_BDC,Group,Checked-Out,19124.0,1,1,0
RES-10125,GST-1372,2024-05-27,2024-06-25,2024-06-27,RT_STQ,RC_RACK,CH_GDS,Business,No-Show,2081.6,1,1,0
RES-10126,GST-1915,2024-05-26,2024-05-27,2024-05-31,RT_OCV,RC_CORP,CH_WAL,Leisure,Checked-Out,18630.4,1,1,0
RES-10127,GST-1481,2024-03-31,2024-03-31,2024-04-02,RT_DLK,RC_PROMO,CH_WAL,Business,Checked-Out,7673.8,1,2,2
RES-10128,GST-0019,2024-07-10,2024-09-03,2024-09-08,RT_STQ,RC_PROMO,CH_EXP,Leisure,Checked-Out,11594.0,1,2,0
RES-10129,GST-1657,2024-04-05,2024-04-12,2024-04-14,RT_STQ,RC_AAA,CH_DIR,Business,Checked-Out,4764.96,1,1,0
RES-10130,GST-1754,2024-06-12,2024-08-07,2024-08-09,RT_STQ,RC_AAA,CH_BDC,Leisure,Checked-Out,18876.78,3,2,0
RES-10131,GST-0786,2024-10-20,2024-10-27,2024-10-29,RT_STQ,RC_PROMO,CH_DIR,Transient,Checked-Out,5387.3,1,1,0
RES-10132,GST-0328,2024-04-25,2024-06-22,2024-06-24,RT_STE,RC_NRF,CH_EXP,Leisure,No-Show,6026.24,1,1,0
RES-10133,GST-0932,2024-07-26,2024-09-12,2024-09-15,RT_DLK,RC_AAA,CH_BDC,Leisure,Checked-Out,8652.96,1,1,0
RES-10134,GST-1082,2024-09-05,2024-10-21,2024-10-22,RT_STQ,RC_CORP,CH_BDC,Business,Cancelled,0,1,2,0
RES-10135,GST-0421,2024-01-01,2024-02-12,2024-02-15,RT_DLK,RC_NRF,CH_BDC,Leisure,Checked-Out,14199.12,1,2,1
RES-10136,GST-0632,2024-10-19,2024-11-06,2024-11-08,RT_STE,RC_NRF,CH_BDC,Leisure,Cancelled,0,1,1,2
RES-10137,GST-0142,2024-02-19,2024-03-17,2024-03-22,RT_STQ,RC_RACK,CH_GDS,Leisure,Checked-Out,57660.0,4,4,0
RES-10138,GST-1399,2024-02-25,2024-03-08,2024-03-11,RT_OCV,RC_RACK,CH_GDS,Transient,Checked-Out,15912.0,1,1,1
RES-10139,GST-1549,2024-09-05,2024-10-06,2024-10-09,RT_DLK,RC_CORP,CH_DIR,Leisure,Checked-Out,12018.0,1,1,2
RES-10140,GST-1485,2024-01-01,2024-01-23,2024-01-24,RT_DLK,RC_CORP,CH_BDC,Business,Cancelled,0,1,1,0
RES-10141,GST-0091,2024-01-21,2024-02-12,2024-02-14,RT_OCV,RC_RACK,CH_EXP,Business,Checked-Out,12945.4,1,2,0
RES-10142,GST-1583,2024-11-01,2024-12-18,2024-12-21,RT_STQ,RC_RACK,CH_BDC,Leisure,Cancelled,0,1,1,1
RES-10143,GST-0875,2024-06-11,2024-07-28,2024-07-30,RT_DLK,RC_RACK,CH_BDC,Business,Cancelled,0,1,2,0
RES-10144,GST-1102,2024-08-22,2024-09-08,2024-09-11,RT_STE,RC_RACK,CH_EXP,Transient,Checked-Out,49824.0,2,2,0
RES-10145,GST-0523,2024-01-14,2024-02-24,2024-02-27,RT_OCV,RC_PROMO,CH_DIR,Leisure,Checked-Out,15265.57,1,1,2
RES-10146,GST-0386,2024-04-15,2024-04-16,2024-04-20,RT_STQ,RC_CORP,CH_WAL,Leisure,Checked-Out,11132.8,1,1,3
RES-10147,GST-0241,2024-03-20,2024-04-28,2024-04-29,RT_DLK,RC_PROMO,CH_BDC,Transient,Checked-Out,3148.4,1,2,0
RES-10148,GST-0736,2024-08-08,2024-09-11,2024-09-14,RT_DLK,RC_NRF,CH_EXP,Leisure,Cancelled,0,1,1,1
RES-10149,GST-0034,2024-03-07,2024-04-02,2024-04-04,RT_DLK,RC_CORP,CH_EXP,Transient,Checked-Out,6353.6,1,2,0
RES-10150,GST-1933,2024-10-24,2024-12-08,2024-12-13,RT_ACC,RC_NRF,CH_BDC,Leisure,Checked-Out,13894.4,1,1,1
RES-10151,GST-1001,2024-09-23,2024-10-02,2024-10-03,RT_ACC,RC_PROMO,CH_DIR,Transient,Cancelled,0,1,1,1
RES-10152,GST-0474,2024-01-01,2024-02-07,2024-02-09,RT_DLK,RC_RACK,CH_DIR,Business,Checked-Out,9183.2,1,1,0
RES-10153,GST-1480,2024-11-14,2024-12-25,2024-12-27,RT_OCV,RC_RACK,CH_EXP,Wholesale,Checked-Out,12269.4,1,1,0
RES-10154,GST-1079,2024-06-27,2024-08-09,2024-08-12,RT_STQ,RC_NRF,CH_EXP,Leisure,Checked-Out,10024.56,1,1,1
RES-10155,GST-1758,2024-08-28,2024-09-14,2024-09-15,RT_STQ,RC_AAA,CH_BDC,Business,Checked-Out,2317.68,1,2,1
RES-10156,GST-0679,2024-01-08,2024-02-05,2024-02-06,RT_DLK,RC_RACK,CH_BDC,Transient,Checked-Out,6392.1,1,1,2
RES-10157,GST-1402,2024-06-10,2024-06-17,2024-06-18,RT_STQ,RC_CORP,CH_GDS,Transient,Checked-Out,2480.8,1,2,2
RES-10158,GST-0613,2024-09-12,2024-10-10,2024-10-12,RT_STQ,RC_NRF,CH_DIR,Business,Checked-Out,5236.8,1,1,0
RES-10159,GST-1996,2024-09-27,2024-11-19,2024-11-21,RT_STQ,RC_RACK,CH_EXP,Business,Cancelled,0,1,2,1
RES-10160,GST-0923,2024-11-07,2024-12-28,2025-01-02,RT_DLK,RC_PROMO,CH_EXP,Leisure,Confirmed,20304.38,1,1,1
RES-10161,GST-0169,2024-06-28,2024-08-01,2024-08-05,RT_STQ,RC_NRF,CH_EXP,Leisure,Checked-Out,10853.44,1,2,0
RES-10162,GST-0553,2024-08-24,2024-09-26,2024-09-27,RT_DLK,RC_AAA,CH_DIR,Business,Checked-Out,2558.16,1,2,2
RES-10163,GST-0026,2024-03-29,2024-05-18,2024-05-21,RT_OCV,RC_RACK,CH_EXP,Leisure,Cancelled,0,1,2,0
RES-10164,GST-0299,2024-01-17,2024-02-16,2024-02-20,RT_DLK,RC_AAA,CH_DIR,Leisure,Checked-Out,18743.4,1,1,0
RES-10165,GST-0278,2024-05-20,2024-07-01,2024-07-03,RT_DLK,RC_RACK,CH_EXP,Transient,Checked-Out,11390.6,1,1,0
RES-10166,GST-1236,2024-06-03,2024-06-19,2024-06-21,RT_ACC,RC_RACK,CH_GDS,Business,Checked-Out,4942.4,1,2,1
RES-10167,GST-0805,2024-02-19,2024-04-16,2024-04-19,RT_ACC,RC_RACK,CH_EXP,Transient,Checked-Out,12129.6,2,2,0
RES-10168,GST-0597,2024-12-09,2024-12-10,2024-12-11,RT_OCV,RC_NRF,CH_WAL,Business,Checked-Out,6028.88,1,1,1
RES-10169,GST-1617,2024-08-29,2024-10-14,2024-10-19,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,23065.0,1,1,0
RES-10170,GST-0509,2024-10-14,2024-12-10,2024-12-15,RT_STQ,RC_CORP,CH_BDC,Leisure,Checked-Out,22685.0,1,2,0
RES-10171,GST-0202,2024-10-07,2024-11-04,2024-11-09,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,27729.0,1,1,0
RES-10172,GST-0051,2024-02-20,2024-03-27,2024-03-31,RT_STQ,RC_PROMO,CH_EXP,Leisure,No-Show,2423.35,1,2,0
RES-10173,GST-0200,2024-02-27,2024-03-13,2024-03-18,RT_STQ,RC_RACK,CH_EXP,Group,Checked-Out,15815.0,1,1,0
RES-10174,GST-1131,2024-07-15,2024-08-02,2024-08-05,RT_STQ,RC_PROMO,CH_DIR,Leisure,Checked-Out,10458.83,1,1,0
RES-10175,GST-0880,2024-01-01,2024-02-16,2024-02-19,RT_OCV,RC_RACK,CH_EXP,Group,Cancelled,0,2,3,0
RES-10176,GST-0234,2024-10-08,2024-11-15,2024-11-18,RT_DLK,RC_CORP,CH_EXP,Transient,Checked-Out,16781.7,1,2,1
RES-10177,GST-1667,2024-12-02,2024-12-24,2024-12-26,RT_DLK,RC_PROMO,CH_BDC,Transient,Cancelled,0,1,2,1
RES-10178,GST-1047,2024-07-28,2024-09-20,2024-09-23,RT_DLK,RC_CORP,CH_EXP,Leisure,Checked-Out,11126.4,1,1,0
RES-10179,GST-0924,2024-03-16,2024-04-23,2024-04-26,RT_DLK,RC_PROMO,CH_BDC,Transient,Checked-Out,9251.4,1,2,0
RES-10180,GST-1721,2024-04-04,2024-05-06,2024-05-07,RT_OCV,RC_CORP,CH_EXP,Business,Checked-Out,4049.6,1,2,0
RES-10181,GST-1583,2024-09-12,2024-10-19,2024-10-21,RT_STQ,RC_RACK,CH_BDC,Leisure,Checked-Out,6556.0,1,2,0
RES-10182,GST-1700,2024-04-22,2024-05-28,2024-05-29,RT_STQ,RC_NRF,CH_BDC,Business,Cancelled,0,1,1,0
RES-10183,GST-1511,2024-02-15,2024-04-08,2024-04-11,RT_DLK,RC_NRF,CH_BDC,Leisure,Checked-Out,7532.16,1,2,0
